MetadataType,ComponentName,Namespace,LastModifiedDate
CustomObject,DataGraph,,1970-01-01T00:00:00.000Z
CustomObject,PromotionQualifier,,1970-01-01T00:00:00.000Z
CustomObject,EntitlementContact,,1970-01-01T00:00:00.000Z
CustomObject,VoiceCall,,1970-01-01T00:00:00.000Z
CustomObject,DataMaskCustomValueLibrary,,1970-01-01T00:00:00.000Z
CustomObject,CartDeliveryGroup,,1970-01-01T00:00:00.000Z
CustomObject,ContactPointEmail,,1970-01-01T00:00:00.000Z
CustomObject,CollaborationGroupMember,,1970-01-01T00:00:00.000Z
CustomObject,ShippingRateArea,,1970-01-01T00:00:00.000Z
CustomObject,ConsumptionSchedule,,1970-01-01T00:00:00.000Z
CustomObject,MarketSegment,,1970-01-01T00:00:00.000Z
CustomObject,ServiceAppointment,,1970-01-01T00:00:00.000Z
CustomObject,DuplicateRecordItem,,1970-01-01T00:00:00.000Z
CustomObject,Problem,,1970-01-01T00:00:00.000Z
CustomObject,FlowOrchestrationStepInstance,,1970-01-01T00:00:00.000Z
CustomObject,CommSubscription,,1970-01-01T00:00:00.000Z
CustomObject,PaymentMethod,,1970-01-01T00:00:00.000Z
CustomObject,Pricebook2,,1970-01-01T00:00:00.000Z
CustomObject,AccountCleanInfo,,1970-01-01T00:00:00.000Z
CustomObject,QuickText,,1970-01-01T00:00:00.000Z
CustomObject,Location,,1970-01-01T00:00:00.000Z
CustomObject,DataSourceBundle,,1970-01-01T00:00:00.000Z
CustomObject,EntityMilestone,,1970-01-01T00:00:00.000Z
CustomObject,PromptAction,,1970-01-01T00:00:00.000Z
CustomObject,Entitlement,,1970-01-01T00:00:00.000Z
CustomObject,FlowOrchestrationStageInstance,,1970-01-01T00:00:00.000Z
CustomObject,ResourcePreference,,1970-01-01T00:00:00.000Z
CustomObject,Contract,,1970-01-01T00:00:00.000Z
CustomObject,IncidentRelatedItem,,1970-01-01T00:00:00.000Z
CustomObject,RecordMergeHistory,,1970-01-01T00:00:00.000Z
CustomObject,CaseContactRole,,1970-01-01T00:00:00.000Z
